LOC119724510	T-box protein 1
LOC119745487	kinetochore protein NDC80 homolog
LOC119745488	probable L-cysteine desulfhydrase, chloroplastic
LOC119745489	arrestin domain-containing protein 3-like
LOC119745491	histamine N-methyltransferase A-like
LOC119745492	threonine--tRNA ligase 1, cytoplasmic-like
LOC119745493	cleft lip and palate transmembrane protein 1 homolog
LOC119745494	insulin gene enhancer protein ISL-1-like
LOC119745495	SURP and G-patch domain-containing protein 1-like
LOC119745496	CCR4-NOT transcription complex subunit 1-like
LOC119745497	survival motor neuron protein 1-like
LOC119745498	vacuolar protein sorting-associated protein 33B-like
LOC119745500	MAM domain-containing protein 2-like
LOC119745501	uncharacterized LOC119745501
LOC119745502	uncharacterized LOC119745502
LOC119745503	peptidyl-prolyl cis-trans isomerase FKBP2-like
LOC119745504	small nuclear ribonucleoprotein Sm D2
LOC119745505	cationic amino acid transporter 4-like
LOC119745507	WD repeat-containing protein 7-like
LOC119745508	uncharacterized LOC119745508
LOC119745509	G-protein coupled receptor GRL101-like
LOC119745510	deleted in malignant brain tumors 1 protein-like
LOC119745511	uncharacterized LOC119745511
LOC119745512	histone deacetylase 8-like
LOC119745513	CTP synthase 1-like
LOC119745515	pleckstrin homology domain-containing family M member 2-like
LOC119745516	MORN repeat-containing protein 1-like
LOC119745517	synaptogenesis protein syg-1-like
LOC119745518	cell adhesion molecule 4-like
LOC119745520	ubiquitin-conjugating enzyme E2 Z-like
LOC119745521	semaphorin-2A-like
LOC119745522	PAX3- and PAX7-binding protein 1-like
LOC119745523	chromatin assembly factor 1 subunit B-like
LOC119745524	spermatogenesis-associated serine-rich protein 1-like
LOC119745525	cubilin-like
LOC119745526	protein kinase C epsilon type-like
LOC119745528	protein pitchfork-like
LOC119745529	iron-sulfur cluster assembly 2 homolog, mitochondrial-like
LOC119745530	neprilysin-4-like
LOC119745531	membrane metallo-endopeptidase-like 1
LOC119745532	neprilysin-4-like
LOC119745533	gamma-butyrobetaine dioxygenase-like
LOC119745534	neprilysin-4-like
LOC119745535	neprilysin-4-like
LOC119745536	inositol polyphosphate 5-phosphatase OCRL-like
LOC119745538	serine/threonine-protein kinase ULK4-like
LOC119745539	zinc transporter 5-like
LOC119745541	atrial natriuretic peptide receptor 1-like
LOC119745542	uncharacterized protein KIAA0825 homolog
LOC119745543	deleted in malignant brain tumors 1 protein-like
LOC119745544	COMM domain-containing protein 10-like
LOC119745545	sucrase-isomaltase, intestinal-like
LOC119745546	alpha- and gamma-adaptin-binding protein p34-like
LOC119745547	serine palmitoyltransferase 2-like
LOC119745548	collagen alpha-1(X) chain-like
LOC119745549	homeobox protein Hox-D8-like
LOC119745552	HIV Tat-specific factor 1 homolog
LOC119745553	trafficking protein particle complex subunit 8-like
LOC119745554	mothers against decapentaplegic homolog 6-like
LOC119745555	fibrillin-2-like
LOC119745556	uncharacterized protein KIAA1143 homolog
LOC119745557	kinesin-like protein KIF15
LOC119745558	dickkopf-related protein 3-like
LOC119745559	adhesion G protein-coupled receptor E1-like
LOC119745560	PDF receptor-like
LOC119745562	28S ribosomal protein S11, mitochondrial-like
LOC119745563	kinesin-like protein KIF28P
LOC119745564	collagen alpha-1(X) chain-like
LOC119745565	dnaJ homolog subfamily A member 1-like
LOC119745566	anoctamin-8-like
LOC119745567	pre-mRNA 3' end processing protein WDR33-like
LOC119745568	solute carrier family 23 member 1-like
LOC119745569	sorting nexin-13-like
LOC119745570	proline-serine-threonine phosphatase-interacting protein 1-like
LOC119745571	E3 ubiquitin-protein ligase RGLG4-like
LOC119745572	deoxynucleoside kinase-like
LOC119745573	semaphorin-2A-like
LOC119745574	E3 ubiquitin-protein ligase SHPRH-like
LOC119745575	zinc finger-containing ubiquitin peptidase 1-like
LOC119745576	protein FAM162A-like
LOC119745577	uncharacterized LOC119745577
LOC119745578	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like
LOC119745579	synaptic vesicular amine transporter-like
LOC119745580	F-box/WD repeat-containing protein 7-like
LOC119745581	F-box/WD repeat-containing protein 7-like
LOC119745582	carbohydrate sulfotransferase 3-like
LOC119745584	tetratricopeptide repeat protein 21B-like
LOC119745585	multiple epidermal growth factor-like domains protein 6
LOC119745586	poly(rC)-binding protein 3-like
LOC119745587	protein O-mannosyl-transferase 2-like
LOC119745588	acetyl-CoA acetyltransferase, cytosolic-like
LOC119745589	histone deacetylase complex subunit SAP18-like
LOC119745590	gamma-secretase subunit Aph-1-like
LOC119745591	homeobox protein Meis1-like
LOC119745592	ATPase family AAA domain-containing protein 3-A-like
LOC119745593	acidic leucine-rich nuclear phosphoprotein 32 family member A-like
LOC119745594	uncharacterized LOC119745594
LOC119745595	uncharacterized LOC119745595
LOC119745596	uncharacterized LOC119745596
LOC119745597	uncharacterized LOC119745597
LOC119745598	homeobox protein Dlx4a-like
LOC119745599	nuclear cap-binding protein subunit 1-like
LOC119745600	bombesin receptor subtype-3-like
LOC119745601	uncharacterized LOC119745601
LOC119745602	bromodomain and WD repeat-containing protein 3-like
LOC119745603	dehydrodolichyl diphosphate synthase complex subunit DHDDS-like
LOC119745604	tetraspanin-14-like
LOC119745605	calcium and integrin-binding family member 3-like
LOC119745606	DNA-(apurinic or apyrimidinic site) endonuclease-like
LOC119745607	aconitate hydratase, mitochondrial-like
LOC119745608	rap guanine nucleotide exchange factor 4-like
LOC119745609	exportin-4-like
LOC119745610	uncharacterized LOC119745610
LOC119745611	dymeclin-like
LOC119745612	cytochrome P450 10-like
LOC119745613	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial-like
LOC119745614	leucine repeat adapter protein 25-like
LOC119745615	protein cornichon homolog 1-like
LOC119745616	60S ribosomal protein L4-like
LOC119745617	uncharacterized LOC119745617
LOC119745618	transcription initiation factor IIA subunit 2-like
LOC119745619	tumor necrosis factor receptor superfamily member 1B-like
LOC119745620	transmembrane protein 135-like
LOC119745621	carbohydrate sulfotransferase 3-like
LOC119745622	glycoprotein endo-alpha-1,2-mannosidase-like
LOC119745623	gastrula zinc finger protein XlCGF26.1-like
LOC119745624	zinc finger protein 595-like
LOC119745625	sorting nexin-24-like
LOC119745626	uncharacterized LOC119745626
LOC119745627	exocyst complex component 3-like
LOC119745628	vitamin D3 receptor-like
LOC119745629	V-type proton ATPase subunit D-like
LOC119745630	arpin-like
LOC119745631	uncharacterized LOC119745631
LOC119745633	uncharacterized LOC119745633
LOC119745634	cytochrome P450 10-like
LOC119745635	DNA-directed RNA polymerase III subunit RPC3-like
LOC119745636	nucleoside diphosphate-linked moiety X motif 17-like
LOC119745637	dynamin-like 120 kDa protein, mitochondrial
LOC119745638	peroxisome biogenesis factor 10-like
LOC119745639	probable cation-transporting ATPase 13A3
LOC119745641	solute carrier family 22 member 13-like
LOC119745642	organic cation transporter protein-like
LOC119745643	dipeptidase 1-like
LOC119745644	organic cation transporter protein-like
LOC119745645	Ig-like V-type domain-containing protein FAM187A
LOC119745646	uncharacterized LOC119745646
LOC119745647	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like
LOC119745648	sodium/glucose cotransporter 4-like
LOC119745649	sodium/glucose cotransporter 4-like
LOC119745650	sodium/glucose cotransporter 4-like
LOC119745651	SH3 domain-containing kinase-binding protein 1-like
LOC119745652	inactive C-alpha-formylglycine-generating enzyme 2-like
LOC119745653	cilia- and flagella-associated protein 20
LOC119745655	peroxisomal carnitine O-octanoyltransferase-like
LOC119745656	WD repeat-containing protein 27-like
LOC119745657	DET1- and DDB1-associated protein 1-like
LOC119745658	stimulated by retinoic acid gene 6 protein-like
LOC119745659	stimulated by retinoic acid gene 6 protein-like
LOC119745660	casein kinase II subunit alpha-like
LOC119745661	monocarboxylate transporter 13-like
LOC119745662	condensin-2 complex subunit G2-like
LOC119745664	myeloid differentiation primary response protein MyD88-like
LOC119745665	max-like protein X
LOC119745666	uncharacterized LOC119745666
LOC119745667	uncharacterized LOC119745667
LOC119745669	nucleolar protein 6-like
LOC119745671	deoxyribonuclease-1-like
LOC119745672	uncharacterized LOC119745672
LOC119745673	uncharacterized LOC119745673
LOC119745675	uncharacterized LOC119745675
LOC119745676	coiled-coil domain-containing protein 113-like
LOC119745677	uncharacterized LOC119745677
LOC119745680	KICSTOR complex protein ITFG2-like
LOC119745681	uncharacterized LOC119745681
LOC119745683	maleylacetoacetate isomerase-like
LOC119745684	deleted in malignant brain tumors 1 protein-like
LOC119745685	multiple epidermal growth factor-like domains protein 11
LOC119745686	uncharacterized LOC119745686
LOC119745687	uncharacterized LOC119745687
LOC119745688	uncharacterized LOC119745688
LOC119745689	rho-related GTP-binding protein RhoN-like
LOC119745690	transmembrane protein 39A-like
LOC119745691	26S proteasome regulatory subunit 7
LOC119745692	uncharacterized LOC119745692
LOC119745693	phosphonoacetaldehyde hydrolase-like
LOC119745694	pyruvate dehydrogenase (acetyl-transferring) kinase isozyme 2, mitochondrial-like
LOC119745696	protein deadpan-like
LOC119745697	cyclin-T-like
LOC119745698	KAT8 regulatory NSL complex subunit 2-like
LOC119745699	uncharacterized LOC119745699
LOC119745700	DC-STAMP domain-containing protein 2-like
LOC119745701	vesicular inhibitory amino acid transporter-like
LOC119745702	apoptosis-enhancing nuclease-like
LOC119745703	haloacid dehalogenase-like hydrolase domain-containing protein 2
LOC119745704	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1-like
LOC119745705	coronin-2B-like
LOC119745706	cullin-1-like
LOC119745707	CREB/ATF bZIP transcription factor-like
LOC119745708	mitochondrial tRNA methylthiotransferase CDK5RAP1-like
LOC119745709	breast cancer metastasis-suppressor 1-like protein
LOC119745710	ATP-dependent RNA helicase HAS1-like
LOC119745711	beta-2 adrenergic receptor-like
LOC119745712	adenosine receptor A2b-like
LOC119745713	myosin-2 essential light chain-like
LOC119745714	FAST kinase domain-containing protein 1, mitochondrial-like
LOC119745716	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase-like
LOC119745717	FH1/FH2 domain-containing protein 3-like
LOC119745718	vegetative cell wall protein gp1-like
LOC119745719	tRNA pseudouridine synthase-like 1
LOC119745720	signal peptidase complex subunit 1-like
LOC119745721	uncharacterized LOC119745721
LOC119745722	mucin-22-like
LOC119745723	polypeptide N-acetylgalactosaminyltransferase 13-like
LOC119745724	dual specificity protein phosphatase 19-like
LOC119745725	INO80 complex subunit C-like
LOC119745726	polypeptide N-acetylgalactosaminyltransferase 1-like
LOC119745727	polypeptide N-acetylgalactosaminyltransferase 1-like
LOC119745728	cytochrome P450 20A1-like
LOC119745729	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4-like
LOC119745730	methionine--tRNA ligase, cytoplasmic-like
LOC119745731	5-methylcytosine rRNA methyltransferase NSUN4-like
LOC119745732	ubiquitin-conjugating enzyme E2 J1-like
LOC119745733	equilibrative nucleoside transporter 1-like
LOC119745734	uncharacterized LOC119745734
LOC119745735	7SK snRNA methylphosphate capping enzyme-like
LOC119745736	cyclin-dependent kinase 2-like
LOC119745737	coiled-coil domain-containing protein 12-like
LOC119745738	cyclic nucleotide-binding domain-containing protein 2-like
LOC119745739	cysteine sulfinic acid decarboxylase-like
LOC119745740	probable acyl-CoA dehydrogenase 6
LOC119745741	tetraspanin-13-like
LOC119745742	D-glucuronyl C5-epimerase B-like
LOC119745743	uncharacterized LOC119745743
LOC119745744	ankyrin repeat and SOCS box protein 1-like
LOC119745745	polyubiquitin-C
LOC119745746	actin-3-like
LOC119745747	programmed cell death protein 7-like
LOC119745748	protein prenyltransferase alpha subunit repeat-containing protein 1-like
LOC119745749	DDB1- and CUL4-associated factor 12-like
LOC119745750	uncharacterized LOC119745750
LOC119745751	DNA-directed RNA polymerases I, II, and III subunit RPABC2-like
LOC119745752	c-Myc-binding protein-like
LOC119745753	vacuolar protein sorting-associated protein 13D-like
LOC119745754	succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like
LOC119745755	28S ribosomal protein S22, mitochondrial-like
LOC119745756	synaptic vesicle glycoprotein 2C-like
LOC119745757	probable ubiquitin carboxyl-terminal hydrolase MINDY-4
LOC119745758	cationic amino acid transporter 4-like
LOC119745759	coiled-coil domain-containing protein 63-like
LOC119745760	protein disulfide-isomerase A3-like
LOC119745761	amiloride-sensitive sodium channel subunit beta-like
LOC119745762	cytoplasmic dynein 1 heavy chain 1-like
LOC119745763	ankyrin repeat and SOCS box protein 7-like
LOC119745764	ALX homeobox protein 1-like
LOC119745765	ras-like protein rasG
LOC119745766	transient receptor potential cation channel subfamily M member 3-like
LOC119745768	bifunctional peptidase and (3S)-lysyl hydroxylase Jmjd7-like
LOC119745769	ubiquitin-associated protein 1-like
LOC119745770	peroxisomal multifunctional enzyme type 2-like
LOC119745771	methionine synthase reductase-like
LOC119745772	protein FMC1 homolog
LOC119745773	uridine phosphorylase 2-like
LOC119745774	elongator complex protein 5-like
LOC119745775	UBX domain-containing protein 10-like
LOC119745776	rap1 GTPase-activating protein 1-like
LOC119745777	diacylglycerol O-acyltransferase 1-like
LOC119745779	protein deadpan-like
LOC119745780	dehydrodolichyl diphosphate synthase complex subunit Nus1-like
LOC119745781	dual specificity protein phosphatase 18-like
LOC119745782	T-complex protein 1 subunit theta-like
LOC119745783	protein MFI-like
LOC119745784	high-affinity lysophosphatidic acid receptor-like
LOC119745785	leukocyte cysteine proteinase inhibitor 1-like
LOC119745786	myophilin-like
LOC119745787	general transcription factor IIE subunit 1-like
LOC119745788	rab-like protein 3
LOC119745789	tetratricopeptide repeat protein 36-like
LOC119745790	SUZ domain-containing protein 1-like
LOC119745791	gamma-aminobutyric acid receptor-associated protein
LOC119745792	polycomb protein SCMH1-like
LOC119745793	katanin p60 ATPase-containing subunit A-like 2
LOC119745794	transmembrane protein with metallophosphoesterase domain-like
LOC119745795	ras-like protein rasG
LOC119745796	stomatin-like protein 2, mitochondrial
LOC119745797	tetratricopeptide repeat protein 22-like
LOC119745798	CTD nuclear envelope phosphatase 1-like
LOC119745799	F-box/LRR-repeat protein 2-like
LOC119745800	ribulose-phosphate 3-epimerase-like
LOC119745801	MYCBP-associated protein-like
LOC119745802	protein pygopus-like
LOC119745803	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase-like
LOC119745804	protein mago nashi homolog
LOC119745805	GDP-fucose protein O-fucosyltransferase 2-like
LOC119745806	semaphorin-2A-like
LOC119745807	multiple epidermal growth factor-like domains protein 10
LOC119745808	uncharacterized LOC119745808
LOC119745809	RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like
LOC119745810	endoplasmic reticulum aminopeptidase 1-like
LOC119745811	HSPB1-associated protein 1-like
LOC119745813	divergent protein kinase domain 2A-like
LOC119745816	uncharacterized LOC119745816
LOC119745817	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase-like
LOC119745818	tudor and KH domain-containing protein-like
LOC119745819	uncharacterized LOC119745819
LOC119745820	hepatoma-derived growth factor-related protein 2-like
LOC119745821	uncharacterized LOC119745821
LOC119745822	NGFI-A-binding protein 1-like
LOC119745823	ras-related protein Rab-27A-like
LOC119745824	centrosomal protein of 85 kDa-like
LOC119745825	cholesterol 24-hydroxylase-like
LOC119745826	distal membrane-arm assembly complex protein 2-like
LOC119745827	bifunctional peptidase and arginyl-hydroxylase JMJD5-like
LOC119745828	band 4.1-like protein 4
LOC119745829	zinc finger protein 687b-like
LOC119745830	histidine decarboxylase-like
LOC119745831	carbohydrate sulfotransferase 1-like
LOC119745832	nuclear envelope integral membrane protein 1-like
LOC119745833	uncharacterized LOC119745833
LOC119745834	epithelial cell-transforming sequence 2 oncogene-like
LOC119745835	monocarboxylate transporter 12-like
LOC119745836	AP-4 complex subunit epsilon-1-like
LOC119745843	zinc finger RNA-binding protein-like
LOC119745845	myogenesis-regulating glycosidase-like
LOC119745846	NF-kappa-B inhibitor epsilon-like
LOC119745847	adaptin ear-binding coat-associated protein 1-like
LOC119745848	WD repeat-containing protein 25-like
LOC119745849	monocarboxylate transporter 12-like
LOC119745850	uncharacterized LOC119745850
LOC119745851	homeobox even-skipped homolog protein 2-like
LOC119745852	uncharacterized LOC119745852
LOC119745853	uncharacterized LOC119745853
LOC119745854	uncharacterized LOC119745854
LOC119745855	uncharacterized protein C17orf98-like
LOC119745856	ankyrin repeat and EF-hand domain-containing protein 1-like
LOC119745857	transmembrane 6 superfamily member 1-like
LOC119745858	ganglioside-induced differentiation-associated protein 1-like
LOC119745859	autophagy-related protein 9A-like
LOC119745860	cholesterol 24-hydroxylase-like
LOC119745861	uncharacterized LOC119745861
LOC119745863	ubiquitin carboxyl-terminal hydrolase 48-like
LOC119745864	dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit-like
LOC119745865	tetratricopeptide repeat protein 17-like
LOC119745866	15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like
LOC119745867	protein mono-ADP-ribosyltransferase PARP11-like
LOC119745869	transient receptor potential cation channel subfamily M member 2-like
LOC119745870	migration and invasion enhancer 1-like
LOC119745871	atrial natriuretic peptide receptor 1-like
LOC119745873	EKC/KEOPS complex subunit TP53RK-like
LOC119745874	protein zwilch homolog
LOC119745875	branched-chain-amino-acid aminotransferase-like protein 2
LOC119745876	lectin BRA-3-like
LOC119745877	tropomyosin-like
LOC119745878	methyltransferase-like protein 27
LOC119745879	methyltransferase-like protein 27
LOC119745880	fat storage-inducing transmembrane protein 2-like
LOC119745881	methyltransferase-like protein 27
LOC119745882	probable assembly chaperone of rpl4
LOC119745883	ATP-binding cassette sub-family B member 7, mitochondrial-like
LOC119745884	macrophage mannose receptor 1-like
LOC119745885	small subunit processome component 20 homolog
LOC119745886	uncharacterized LOC119745886
LOC119745887	tyrosine aminotransferase-like
LOC119745888	MAM and LDL-receptor class A domain-containing protein 2-like
LOC119745889	uncharacterized LOC119745889
LOC119745890	uncharacterized LOC119745890
LOC119745891	uncharacterized LOC119745891
LOC119745892	uncharacterized LOC119745892
LOC119745893	spermidine synthase-like
LOC119745894	glutathione hydrolase 1 proenzyme-like
LOC119745895	cytochrome b5-like
LOC119745896	cytochrome P450 2J6-like
LOC119745897	uncharacterized LOC119745897
LOC119745898	ADAMTS-like protein 5
LOC119745899	uncharacterized LOC119745899
LOC119745900	tropomodulin-2-like
LOC119745901	CCR4-NOT transcription complex subunit 2-like
LOC119745902	uncharacterized LOC119745902
LOC119745903	trace amine-associated receptor 8b-like
LOC119745904	beta-4C adrenergic receptor-like
LOC119745905	beta-4C adrenergic receptor-like
LOC119745906	octopamine receptor 1-like
LOC119745907	dynein heavy chain 5, axonemal-like
LOC119745908	cullin-5-like
LOC119745909	DNA damage-regulated autophagy modulator protein 1-like
LOC119745910	cytochrome P450 27C1-like
LOC119745915	kanadaptin-like
LOC119745916	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit
LOC119745917	macrophage mannose receptor 1-like
LOC119745918	bromodomain-containing protein 7-like
LOC119745919	fumarylacetoacetase-like
LOC119745920	charged multivesicular body protein 1b-like
LOC119745921	E3 ubiquitin-protein ligase TRIM71-like
LOC119745922	uncharacterized LOC119745922
LOC119745923	methylmalonic aciduria and homocystinuria type D homolog, mitochondrial-like
LOC119745924	mucin-5B-like
LOC119745925	thyrotroph embryonic factor-like
LOC119745926	sulfotransferase 1C2-like
LOC119745927	sulfotransferase 1A1-like
LOC119745928	uncharacterized LOC119745928
LOC119745929	uncharacterized LOC119745929
LOC119745930	transcription cofactor vestigial-like protein 2
LOC119745931	negative elongation factor D-like
LOC119745932	mitochondrial 2-oxoglutarate/malate carrier protein-like
LOC119745933	neogenin-like
LOC119745934	solute carrier family 25 member 40-like
LOC119745935	small nuclear ribonucleoprotein-associated proteins B and B'-like
LOC119745936	bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]-like
LOC119745937	uncharacterized LOC119745937
LOC119745938	uncharacterized protein C1orf50 homolog
LOC119745939	dual oxidase maturation factor 1-like
LOC119745940	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1-like
LOC119745941	serine/threonine-protein kinase 16-like
LOC119745942	uncharacterized LOC119745942
LOC119745943	protein fantom-like
LOC119745944	uncharacterized LOC119745944
LOC119745945	thrombospondin-1-like
LOC119745946	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase-like
LOC119745947	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase-like
LOC119745948	amiloride-sensitive sodium channel subunit alpha-like
LOC119745949	carbohydrate sulfotransferase 13-like
LOC119745950	probable arginine--tRNA ligase, mitochondrial
LOC119745951	uncharacterized LOC119745951
LOC119745952	secretin receptor-like
LOC119745953	beta,beta-carotene 15,15'-dioxygenase-like
LOC119745954	alpha-ketoglutarate-dependent dioxygenase FTO-like
LOC119745955	procyclic form-specific polypeptide A-beta-like
LOC119745956	beta-lactamase domain-containing protein 2-like
LOC119745957	beta-lactamase domain-containing protein 2-like
LOC119745958	beta-lactamase domain-containing protein 2-like
LOC119745959	transmembrane protein 169-like
LOC119745960	N-alpha-acetyltransferase 35, NatC auxiliary subunit-like
LOC119745961	DNA polymerase alpha subunit B-like
LOC119745962	intersectin-1-like
LOC119745963	ATP synthase subunit O, mitochondrial-like
LOC119745964	28S ribosomal protein S6, mitochondrial-like
LOC119745965	protein FAM221B-like
LOC119745966	protein mono-ADP-ribosyltransferase PARP12-like
LOC119745967	cytochrome P450 20A1-like
LOC119745968	leucine-rich repeat-containing protein 23-like
LOC119745969	WD repeat-containing protein on Y chromosome-like
LOC119745970	aquaporin AQPAe.a-like
LOC119745971	3-hydroxyanthranilate 3,4-dioxygenase-like
LOC119745972	treslin-like
LOC119745973	acyl-coenzyme A thioesterase THEM4-like
LOC119745974	acyl-coenzyme A thioesterase THEM4-like
LOC119745975	very low-density lipoprotein receptor-like
LOC119745976	acyl-coenzyme A thioesterase THEM4-like
LOC119745977	FAST kinase domain-containing protein 5, mitochondrial-like
LOC119745978	multiple epidermal growth factor-like domains protein 10
LOC119745979	leucine zipper transcription factor-like protein 1
LOC119745980	PHD finger protein 14-like
LOC119745981	neurogenic locus notch homolog protein 1-like
LOC119745982	phosphomethylethanolamine N-methyltransferase-like
LOC119745983	pyruvate kinase PKM-like
LOC119745984	RUN domain-containing protein 3B-like
LOC119745985	cytochrome c oxidase subunit NDUFA4-like
LOC119745986	uncharacterized LOC119745986
LOC119745987	fibronectin-like
LOC119745989	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase-like
LOC119745990	tyrosine-protein phosphatase non-receptor type 1-like
LOC119745991	probable ATP-dependent RNA helicase DDX59
LOC119745992	ATP synthase subunit alpha, mitochondrial-like
LOC119745993	mitochondrial import inner membrane translocase subunit TIM44-like
LOC119745994	uncharacterized LOC119745994
LOC119745995	hsp70-Hsp90 organizing protein 1-like
LOC119745996	uncharacterized LOC119745996
LOC119745997	ARL14 effector protein-like
LOC119745999	tRNA (uracil-5-)-methyltransferase homolog A-like
LOC119746000	vacuolar protein sorting-associated protein VTA1 homolog
LOC119746001	uncharacterized LOC119746001
LOC119746002	late histone H1-like
LOC119746003	androglobin-like
LOC119746004	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1-like
LOC119746005	menin-like
LOC119746006	U3 small nucleolar RNA-associated protein 15 homolog
LOC119746008	uncharacterized LOC119746008
LOC119746009	complement C1q and tumor necrosis factor-related protein 9-like
LOC119746012	dynein light chain Tctex-type 1
LOC119746013	integrin beta-1-like
LOC119746014	chondroitin sulfate glucuronyltransferase-like
LOC119746015	26S proteasome regulatory subunit 8
LOC119746016	cytochrome b561-like
LOC119746017	dnaJ homolog subfamily C member 1-like
LOC119746018	charged multivesicular body protein 2b-like
LOC119746019	uncharacterized LOC119746019
LOC119746020	uncharacterized protein KIAA0513-like
LOC119746021	zinc finger protein 608-like
LOC119746022	methyltransferase-like protein 27
LOC119746023	SH3 domain-binding glutamic acid-rich-like protein 3
LOC119746024	titin-like
LOC119746025	kin of IRRE-like protein 2
LOC119746027	branched-chain-amino-acid aminotransferase-like protein 2
LOC119746028	branched-chain-amino-acid aminotransferase-like protein 2
LOC119746029	transmembrane protein 143-like
LOC119746030	YEATS domain-containing protein 4-like
LOC119746031	protein fem-1 homolog B-like
LOC119746032	guided entry of tail-anchored proteins factor 1-like
LOC119746033	putative aminopeptidase-2
LOC119746034	CAP-Gly domain-containing linker protein 1-like
LOC119746035	metabotropic glutamate receptor 1-like
LOC119746037	sodium-dependent phosphate transport protein 2B-like
LOC119746038	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase 3-like
LOC119746039	ras-like protein family member 11B
LOC119746040	uncharacterized LOC119746040
LOC119746041	flavin-containing monooxygenase 5-like
LOC119746042	flavin-containing monooxygenase 5-like
LOC119746043	flavin-containing monooxygenase 5-like
LOC119746044	probable 39S ribosomal protein L24, mitochondrial
LOC119746045	secretagogin-like
LOC119746046	high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B-like
LOC119746047	KH homology domain-containing protein 4-like
LOC119746048	coiled-coil domain-containing protein 174-like
LOC119746049	thyrotropin-releasing hormone receptor-like
LOC119746050	echinoidin-like
LOC119746051	uncharacterized LOC119746051
LOC119746052	toll-like receptor Tollo
LOC119746053	histamine N-methyltransferase-like
LOC119746054	kelch-like protein 29
LOC119746055	centromere/kinetochore protein zw10 homolog
LOC119746056	nuclear receptor subfamily 2 group F member 1-A-like
LOC119746057	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial-like
LOC119746059	serine-aspartate repeat-containing protein F-like
LOC119746060	histamine N-methyltransferase-like
LOC119746062	uncharacterized LOC119746062
LOC119746063	potassium voltage-gated channel subfamily A member 2-like
LOC119746064	uncharacterized LOC119746064
LOC119746065	ADP-ribosylation factor-like protein 6
LOC119746066	echinoderm microtubule-associated protein-like 2
LOC119746067	regulator of G-protein signaling 9-binding protein-like
LOC119746068	UBX domain-containing protein 6-like
LOC119746069	probable serine/threonine-protein kinase ifkA
LOC119746070	partitioning defective 6 homolog alpha-like
LOC119746071	arrestin domain-containing protein 3-like
LOC119746072	uncharacterized LOC119746072
LOC119746073	LARGE xylosyl- and glucuronyltransferase 2-A-like
LOC119746074	myc box-dependent-interacting protein 1-like
LOC119746075	solute carrier family 25 member 44-like
LOC119746077	metaxin-2-like
LOC119746078	uncharacterized LOC119746078
LOC119746079	charged multivesicular body protein 5-like
LOC119746080	translocation protein SEC62-like
LOC119746082	mitochondrial calcium uniporter regulator 1-like
LOC119746083	ER membrane protein complex subunit 6-like
LOC119746084	cilia- and flagella-associated protein 161-like
LOC119746085	homeobox protein HB1-like
LOC119746086	uncharacterized LOC119746086
LOC119746087	lysophosphatidic acid phosphatase type 6-like
LOC119746089	zinc transporter 9-like
LOC119746090	nucleoporin Nup43-like
LOC119746091	tumor necrosis factor receptor superfamily member 21-like
LOC119746092	uncharacterized LOC119746092
LOC119746093	sulfide:quinone oxidoreductase, mitochondrial-like
LOC119746094	histamine N-methyltransferase B-like
LOC119746095	origin recognition complex subunit 3-like
LOC119746096	UBX domain-containing protein 11-like
LOC119746097	acid-sensing ion channel 1A-like
LOC119746098	beta-3 adrenergic receptor-like
LOC119746099	splicing factor 3B subunit 4-like
LOC119746100	myogenesis-regulating glycosidase-like
LOC119746101	rhophilin-1-like
LOC119746102	uncharacterized LOC119746102
LOC119746103	uncharacterized LOC119746103
LOC119746104	centrosomal protein of 120 kDa-like
LOC119746105	casein kinase I-like
LOC119746106	uncharacterized LOC119746106
LOC119746107	checkpoint protein HUS1-like
LOC119746108	telomerase protein component 1-like
LOC119746109	uncharacterized protein C9orf85 homolog
LOC119746110	uncharacterized LOC119746110
LOC119746111	2,4-dienoyl-CoA reductase, mitochondrial-like
LOC119746112	major facilitator superfamily domain-containing protein 8-like
